Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
CNN,cnn,5550296508,33024219,35687236,2020-05-02 02:37:49 KST,Link,12337,9133,58320,107,8848,1238,11130,1698,203,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160795127521509,"The number of coronavirus cases in Georgia has surpassed 27,000 with nearly 1,000 new cases reported in the past 24 hours, according to the state's department of health",https://cnn.it/3fbMJAn,https://www.cnn.com/us/live-news/us-coronavirus-update-05-01-20/h_8777111fc29b9d8d0ba92a172350a7b8?utm_source=fbCNN&utm_term=link&utm_content=2020-05-01T17%3A37%3A45&utm_medium=social,,"Georgia reports nearly 1,000 new Covid-19 cases in the past 24 hours", ,,,"103,014",13.08
CNN,cnn,5550296508,33365042,37363213,2020-07-08 00:36:40 KST,Link,39841,10130,14312,1699,7887,23722,3221,407,238,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161066466041509,JUST IN: Brazilian President Bolsonaro tests positive for Covid-19. He has downplayed the pandemic and often skips wearing a mask.,https://cnn.it/3iGmjrV,https://www.cnn.com/2020/07/07/americas/brazil-bolsonaro-positive-coronavirus-intl/index.html?utm_content=2020-07-07T15%3A36%3A36&utm_source=fbCNN&utm_term=link&utm_medium=social,,Brazilian President Jair Bolsonaro tests positive for coronavirus,,,,"101,457",12.88
CNN,cnn,5550296508,32623383,34985931,2020-04-01 00:46:08 KST,Link,17312,15495,16949,1161,10322,563,33052,85,0,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160649912861509,"CNN anchor Chris Cuomo has been diagnosed with Covid-19, the network said in a memo to employees on Tuesday. He is feeling well and will continue to anchor his 9 p.m. program ""Cuomo Prime Time"" from his home.",https://cnn.it/2Uv4MsI,https://www.cnn.com/2020/03/31/media/chris-cuomo-coronavirus/index.html?utm_term=link&utm_medium=social&utm_source=fbCNN&utm_content=2020-03-31T15%3A46%3A03,,CNN anchor Chris Cuomo diagnosed with coronavirus; he will continue working from home, ,,,"94,939",12.06
CNN,cnn,5550296508,33526545,36652298,2020-10-03 07:10:32 KST,Link,52690,13561,9362,12402,612,653,195,472,1579,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161342242041509,"Joe Biden's campaign is pulling all negative ads Friday following President Trump's diagnosis with Covid-19, a campaign aide says",https://cnn.it/36r8Y3h,https://www.cnn.com/politics/live-news/trump-coronavirus-positive/h_fa7b28929477fc4f6551166bacb0c7d9?utm_term=link&utm_medium=social&utm_content=2020-10-02T22%3A10%3A29&utm_source=fbCNN,,Biden campaign is taking down all negative ads following Trump's diagnosis,,,,"91,526",15
CNN,cnn,5550296508,32877249,35457419,2020-04-17 12:15:12 KST,Link,42414,4223,34732,6538,3319,137,26,27,0,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160724662051509,"Covid-19 patients who are getting an experimental drug called remdesivir have been recovering quickly, with most going home in days, STAT News reported after it obtained a video of a conversation about the trial",https://cnn.it/2VeCq6m,https://www.cnn.com/2020/04/16/health/coronavirus-remdesivir-trial/index.html?utm_source=fbCNN&utm_medium=social&utm_term=link&utm_content=2020-04-17T03%3A15%3A07&fbclid=IwAR1Ydt7lm2sdAZuwH8sZcnUXtKLGVdSKJbykzHn4IlL3epHCEsJopJpDC3E,,Report: Covid-19 patients recovering quickly after getting experimental drug, ,,,"91,416",11.61
CNN,cnn,5550296508,33593150,36814429,2020-11-03 23:05:09 KST,Link,8752,6428,5962,304,753,100,66031,647,1958,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161436825126509,"Peyton Baumgarth is the youngest person to die from coronavirus in Missouri, according to state records.",https://cnn.it/3ejSBHI,https://www.cnn.com/2020/11/02/us/missouri-13-year-old-dies-covid-19-trnd/index.html?utm_term=link&utm_source=fbCNN&utm_content=2020-11-03T14%3A05%3A05&utm_medium=social&fbclid=IwAR046nqK1aGOlDCCDyifTKuK9aDrL1ObDB45SAEFse5MNePyFr4koqNv_S4&fbclid=IwAR3ClusF2qKg6Iw7978oLmIKqgvD01hD0dHpQmPhZE6r-bDn7kq9TJWNI_g,,A 13-year-old Missouri boy's last day of school was in late October. He died from Covid-19 days later,,,,"90,935",14.91
CNN,cnn,5550296508,33533277,36666384,2020-10-04 08:00:26 KST,Link,57685,8974,10147,1342,1281,2549,6294,1908,415,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161345704591509,"The four progressive Democratic congresswomen known as ""The Squad"" expressed surprise when Twitter posted about its policy against wishing harm or death to someone in light of President Donald J. Trump 's Covid-19 diagnosis. ""Seriously though, this is messed up. The death threats towards us should have been taking more seriously by [Twitter],"" Rep. Rashida Tlaib tweeted in response.",https://cnn.it/3ivbRCt,https://www.cnn.com/2020/10/03/politics/twitter-trump-policy-ban-the-squad-politics-trnd/index.html?utm_source=fbCNN&utm_content=2020-10-03T23%3A00%3A23&utm_term=link&utm_medium=social,,Twitter bans posts wishing for Trump death. The Squad wonders where that policy was for them,,,,"90,595",14.85
CNN,cnn,5550296508,33542100,36682872,2020-10-06 06:01:49 KST,Link,9812,8067,9577,247,1190,90,55462,882,1025,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161351031226509,"A third-grade teacher died in North Carolina days after testing positive for Covid-19 and while her students were quarantined as a result of the exposure. ""Students absolutely loved being taught by Mrs. Davis,"" the school district said.",https://cnn.it/2Gm929Y,https://www.cnn.com/2020/10/05/us/school-teacher-covid-death-trnd/index.html?utm_medium=social&utm_term=link&utm_content=2020-10-05T21%3A01%3A46&utm_source=fbCNN,,North Carolina elementary school teacher dies days after testing positive for Covid-19,,,,"86,352",14.16
CNN,cnn,5550296508,33373880,37385750,2020-07-14 03:46:09 KST,Link,59122,4331,5613,14401,581,124,22,12,1361,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161087507471509,What used to be the country's epicenter of Covid-19 has now reached a promising milestone,https://cnn.it/3eu7y8q,https://www.cnn.com/2020/07/13/health/new-york-city-coronavirus-zero-deaths/index.html?utm_medium=social&utm_term=link&utm_content=2020-07-13T18%3A46%3A04&utm_source=fbCNN,,New York City reports zero new deaths from Covid-19 for the first time in months,,,,"85,567",10.87
CNN,cnn,5550296508,33306688,37240735,2020-06-08 17:36:09 KST,Link,58883,3252,8997,11134,2476,101,19,6,608,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10160950308736509,"New Zealand Prime Minister Jacinda Ardern has announced that almost all coronavirus restrictions in the country will be lifted tomorrow, after it reported no active cases. However, the country's international borders will remain shut to non-residents to prevent new outbreaks.",https://cnn.it/2XHBKIf,https://edition.cnn.com/travel/article/new-zealand-coronavirus-level-one-intl-hnk/index.html?utm_medium=social&utm_term=link&utm_content=2020-06-08T08%3A36%3A06&utm_source=fbCNN&fbclid=IwAR0aYlVyo_AJ_KP4ZE1cKK40IF7BZ5HJiDseYLLdXedZSPxB4cVeiN1vTAc&fbclid=IwAR0sgAuohh0Ai28a6axj2su-UG5lodLvZg8PAoE6uiXBnV5K1LA5P2TAg1o,,"With no active Covid-19 cases, New Zealand is lifting almost all its coronavirus restrictions",,,,"85,476",10.85
CNN,cnn,5550296508,34036958,37370635,2020-12-09 00:31:01 KST,Link,6271,4644,5028,232,698,94,66268,290,1319,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161540096541509,"Because Erika Becerra was intubated and Covid-19 positive, she never got the opportunity to hold her son, her brother told CNN.",https://cnn.it/3lWhfjU,https://www.cnn.com/2020/12/08/us/covid-death-pregnant-mom-trnd/index.html?utm_content=2020-12-08T15%3A30%3A57&utm_term=link&utm_source=fbCNN&utm_medium=social,,She gave birth to a healthy baby but died of Covid-19 before she could hold him,,,,"84,844",5.24
CNN,cnn,5550296508,34031135,37358968,2020-12-04 10:46:10 KST,Link,56219,10725,4690,1612,384,1198,7078,1253,336,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161527077486509,"""The extraordinary loss of life is heartbreaking — and in some respects unnecessary,"" the Republican senator said",https://cnn.it/33HumyO,https://www.cnn.com/2020/12/03/politics/mitt-romney-trump-coronavirus-leadership/index.html?utm_term=link&utm_content=2020-12-04T01%3A46%3A05&utm_source=fbCNN&utm_medium=social,,Romney calls Trump's leadership on Covid-19 'a great human tragedy',,,,"83,495",6.38
CNN,cnn,5550296508,33415120,37473968,2020-08-04 23:00:22 KST,Link,11680,13788,12871,239,3565,6629,2469,30838,50,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161158449436509,"Donald Trump: ""I think it's under control."" Interviewer: ""How? A thousand Americans are dying a day."" Donald Trump: ""They are dying. That's true. And you — it is what it is... But that doesn't mean we aren't doing everything we can. It's under control as much as you can control it.""",https://cnn.it/3kb63Qz,https://www.cnn.com/2020/08/04/politics/trump-covid-death-toll-is-what-it-is/index.html?utm_medium=social&utm_term=link&utm_content=2020-08-04T14%3A00%3A19&utm_source=fbCNN,,Trump on Covid death toll: 'It is what it is',,,,"82,129",10.43
CNN,cnn,5550296508,33369539,37374843,2020-07-10 22:00:23 KST,Link,14861,4681,34750,89,11938,190,15111,157,90,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161076429221509,"Autopsies on people who died of the coronavirus are helping doctors understand how the disease affects the body -- and one of the most remarkable findings concerned blood clotting, a pathologist says.",https://cnn.it/3gM54Ut,https://www.cnn.com/2020/07/10/health/what-coronavirus-autopsies-reveal/index.html?utm_content=2020-07-10T13%3A00%3A19&utm_source=fbCNN&utm_term=link&utm_medium=social&fbclid=IwAR3AA9YsYzAB1aPoB9X6WhKlLojxAGzwTmdOFqlsYAsvBJN7Hqxk2HLmJNY,,Pathologist found blood clots in 'almost every organ' during autopsies on Covid-19 patients,,,,"81,867",10.4
CNN,cnn,5550296508,33377220,37393301,2020-07-15 16:31:08 KST,Link,51956,6490,8366,11618,56,801,27,78,416,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161092478656509,"“I believe, for the most part, you can trust respected medical authorities. I believe I’m one of them, so I think you can trust me, but I would stick with respected medical authorities who have a track record of telling the truth, who have a track record of giving information and policy and recommendations based on scientific evidence and good data,” Fauci said",https://cnn.it/2OsMAfv,https://edition.cnn.com/world/live-news/coronavirus-pandemic-07-14-20-intl/h_1e6333db40d1af7c83349fc09f62e635?utm_content=2020-07-15T07%3A31%3A04&utm_medium=social&utm_source=fbCNN&utm_term=link&fbclid=IwAR1CBZwYmqGnaM6cKx_vjiRwbzRxzdTC24-gmmMyJ2vyshk9nCnVBzSFyE0&fbclid=IwAR2zebCXagWol3x-goYFxst9_Ignebrd6SHNuCdAgNRUu6HBmmWmCSZQhxs,,"Trust scientists and avoid ""political nonsense"" about Covid-19, Fauci advises",,,,"79,808",10.13
CNN,cnn,5550296508,33357948,37344778,2020-07-02 21:15:09 KST,Link,6449,9705,26426,105,8819,2347,2558,22146,47,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161047026731509,"Some young people in Alabama are throwing Covid-19 parties, a disturbing competition where people who have coronavirus attend and the first person to get infected receives a payout, local officials say.",https://cnn.it/3dUNE6n,https://www.cnn.com/2020/07/02/us/alabama-coronavirus-parties-trnd/index.html?utm_source=fbCNN&utm_medium=social&utm_content=2020-07-02T12%3A15%3A05&utm_term=link,,"Young people are throwing coronavirus parties with a payout when one gets infected, official says",,,,"78,602",9.98
CNN,cnn,5550296508,34030057,37356993,2020-12-04 07:28:38 KST,Link,41022,3723,846,10254,569,13861,349,4994,477,,0,0,0,N/A,https://www.facebook.com/cnn/posts/10161526558776509,President-elect Joe Biden tells CNN's Jake Tapper he has asked Dr. Anthony Fauci to be a chief medical adviser and part of his administration's Covid-19 response team,https://cnn.it/33F9HeM,https://www.cnn.com/2020/12/03/politics/biden-harris-interview-jake-tapper/index.html?utm_content=2020-12-03T22%3A28%3A35&utm_source=fbCNN&utm_medium=social&utm_term=link,,CNN Exclusive: Biden says he has asked Fauci to be a chief medical adviser during his administration,,,,"76,095",5.82
